"RecNo","leave_ind","fictive-oved","Expected_by_Formulas","Sign_Level","Concl_Prob","Prediction"
889,1.000000,7266.000000,"",0.137,0.274,No  more than 0.28
890,1.000000,5836.000000,"",0.380,0.323, more than 0.28
891,1.000000,996.000000,"",0.835,0.291, more than 0.28
892,1.000000,4748.000000,"",0.000,0.162,No  more than 0.28
893,0.000000,7882.000000,"",0.000,0.129,No  more than 0.28
894,0.000000,7321.000000,"",0.412,0.286, more than 0.28
895,0.000000,3717.000000,"",0.005,0.124,No  more than 0.28
896,0.000000,6774.000000,"",0.000,0.150,No  more than 0.28
897,0.000000,3104.000000,"",0.000,0.154,No  more than 0.28
898,0.000000,4592.000000,"",0.000,0.163,No  more than 0.28
899,1.000000,6555.000000,"",0.711,0.281, more than 0.28
900,0.000000,3281.000000,"",0.045,0.170,No  more than 0.28
901,0.000000,1419.000000,"",0.852,0.287, more than 0.28
902,0.000000,1178.000000,"",0.000,0.591, more than 0.28
903,1.000000,4124.000000,"",0.000,0.158,No  more than 0.28
904,0.000000,5511.000000,"",0.000,0.140,No  more than 0.28
905,0.000000,708.000000,"",0.000,0.147,No  more than 0.28
906,1.000000,6191.000000,"",0.101,0.461, more than 0.28
907,1.000000,7315.000000,"",0.273,0.385, more than 0.28
908,0.000000,1552.000000,"",0.148,0.227,No  more than 0.28
909,0.000000,7544.000000,"",0.349,0.350, more than 0.28
910,0.000000,540.000000,"",0.000,0.151,No  more than 0.28
911,0.000000,3265.000000,"",0.000,0.151,No  more than 0.28
912,0.000000,3093.000000,"",0.000,0.174,No  more than 0.28
913,1.000000,1375.000000,"",0.212,0.395, more than 0.28
914,1.000000,698.000000,-1.0,0.0, No Prediction
915,1.000000,81.000000,"",0.000,0.539, more than 0.28
916,0.000000,7376.000000,"",0.079,0.222,No  more than 0.28
917,1.000000,381.000000,"",0.000,0.759, more than 0.28
918,0.000000,7187.000000,"",0.000,0.134,No  more than 0.28
919,0.000000,1395.000000,"",0.091,0.530, more than 0.28
920,0.000000,1994.000000,"",0.719,0.288, more than 0.28
921,1.000000,4816.000000,"",0.000,0.542, more than 0.28
922,0.000000,52.000000,"",0.000,0.118,No  more than 0.28
923,0.000000,4163.000000,"",0.000,0.594, more than 0.28
924,1.000000,2193.000000,"",0.543,0.283, more than 0.28
925,0.000000,7565.000000,"",0.000,0.145,No  more than 0.28
926,0.000000,7513.000000,"",0.514,0.300, more than 0.28
927,0.000000,383.000000,"",0.000,0.150,No  more than 0.28
928,0.000000,8049.000000,"",0.000,0.163,No  more than 0.28
929,0.000000,745.000000,"",0.000,0.130,No  more than 0.28
930,0.000000,4384.000000,"",0.189,0.369, more than 0.28
931,0.000000,1113.000000,"",0.000,0.148,No  more than 0.28
932,0.000000,1092.000000,"",0.051,0.247,No  more than 0.28
933,0.000000,3763.000000,"",0.000,0.123,No  more than 0.28
934,0.000000,4870.000000,"",0.000,0.142,No  more than 0.28
935,1.000000,5859.000000,"",0.371,0.290, more than 0.28
936,1.000000,6948.000000,-1.0,0.0, No Prediction
937,1.000000,4123.000000,"",0.000,0.111,No  more than 0.28
938,1.000000,5472.000000,"",0.630,0.344, more than 0.28
939,0.000000,151.000000,"",0.000,0.095,No  more than 0.28
940,1.000000,1610.000000,-1.0,0.0, No Prediction
941,0.000000,7448.000000,"",0.000,0.119,No  more than 0.28
942,1.000000,447.000000,"",0.000,0.146,No  more than 0.28
943,0.000000,1322.000000,"",0.000,0.114,No  more than 0.28
944,0.000000,5252.000000,"",0.000,0.144,No  more than 0.28
945,0.000000,6878.000000,"",0.000,0.589, more than 0.28
946,0.000000,2827.000000,"",0.000,0.152,No  more than 0.28
947,0.000000,171.000000,"",0.000,0.121,No  more than 0.28
948,0.000000,1837.000000,"",0.000,0.149,No  more than 0.28
949,1.000000,7183.000000,"",0.000,0.149,No  more than 0.28
950,1.000000,8253.000000,"",0.808,0.292, more than 0.28
951,0.000000,860.000000,"",0.000,0.154,No  more than 0.28
952,0.000000,2223.000000,"",0.000,0.146,No  more than 0.28
953,0.000000,1448.000000,"",0.913,0.283, more than 0.28
954,0.000000,7853.000000,"",0.257,0.335, more than 0.28
955,1.000000,2090.000000,"",0.000,0.550, more than 0.28
956,1.000000,8425.000000,"",0.061,0.184,No  more than 0.28
957,0.000000,6645.000000,"",0.845,0.291, more than 0.28
958,0.000000,6312.000000,"",0.000,0.110,No  more than 0.28
959,0.000000,1283.000000,"",0.000,0.158,No  more than 0.28
960,0.000000,1201.000000,"",0.000,0.166,No  more than 0.28
961,0.000000,4977.000000,"",0.000,0.150,No  more than 0.28
962,1.000000,8191.000000,"",0.675,0.307, more than 0.28
963,0.000000,5201.000000,"",0.000,0.144,No  more than 0.28
964,0.000000,5525.000000,"",0.079,0.485, more than 0.28
965,0.000000,5340.000000,"",0.000,0.136,No  more than 0.28
966,1.000000,3301.000000,"",0.000,0.556, more than 0.28
967,0.000000,3475.000000,"",0.000,0.588, more than 0.28
968,1.000000,1504.000000,"",0.000,0.135,No  more than 0.28
969,1.000000,4910.000000,-1.0,0.0, No Prediction
970,0.000000,1048.000000,"",0.000,0.623, more than 0.28
971,0.000000,1560.000000,"",0.000,0.117,No  more than 0.28
972,0.000000,8533.000000,"",0.000,0.112,No  more than 0.28
973,1.000000,1967.000000,"",0.000,0.590, more than 0.28
974,0.000000,5882.000000,"",0.000,0.647, more than 0.28
975,0.000000,1440.000000,"",0.000,0.135,No  more than 0.28
976,0.000000,5933.000000,"",0.000,0.102,No  more than 0.28
977,1.000000,4055.000000,"",0.031,0.508, more than 0.28
978,0.000000,511.000000,"",0.000,0.146,No  more than 0.28
979,0.000000,5222.000000,"",0.000,0.152,No  more than 0.28
980,1.000000,4834.000000,"",0.000,0.546, more than 0.28
981,0.000000,2943.000000,"",0.000,0.138,No  more than 0.28
982,0.000000,4972.000000,"",0.000,0.149,No  more than 0.28
983,1.000000,4294.000000,"",0.000,0.108,No  more than 0.28
984,1.000000,7230.000000,"",0.332,0.378, more than 0.28
985,0.000000,1221.000000,"",0.472,0.271,No  more than 0.28
986,0.000000,7668.000000,"",0.000,0.129,No  more than 0.28
987,0.000000,4844.000000,"",0.000,0.138,No  more than 0.28
988,0.000000,1289.000000,"",0.000,0.103,No  more than 0.28
989,1.000000,6129.000000,"",0.000,0.178,No  more than 0.28
990,0.000000,1842.000000,"",0.000,0.162,No  more than 0.28
991,0.000000,7708.000000,"",0.417,0.244,No  more than 0.28
992,0.000000,1185.000000,"",0.094,0.158,No  more than 0.28
993,0.000000,1467.000000,"",0.000,0.155,No  more than 0.28
994,0.000000,4901.000000,"",0.000,0.155,No  more than 0.28
995,0.000000,864.000000,"",0.000,0.155,No  more than 0.28
996,0.000000,7827.000000,"",0.000,0.120,No  more than 0.28
997,0.000000,8000.000000,"",0.000,0.550, more than 0.28
998,0.000000,1490.000000,"",0.000,0.149,No  more than 0.28
999,1.000000,1011.000000,"",0.512,0.290, more than 0.28
1000,0.000000,183.000000,"",0.000,0.147,No  more than 0.28
1001,0.000000,3240.000000,"",0.000,0.143,No  more than 0.28
1002,0.000000,2036.000000,"",0.000,0.127,No  more than 0.28
1003,1.000000,5689.000000,"",0.000,0.555, more than 0.28
1004,0.000000,5473.000000,"",0.135,0.430, more than 0.28
1005,0.000000,2920.000000,"",0.000,0.568, more than 0.28
1006,0.000000,1330.000000,"",0.000,0.133,No  more than 0.28
1007,0.000000,4510.000000,"",0.000,0.119,No  more than 0.28
1008,1.000000,684.000000,"",0.000,0.594, more than 0.28
1009,1.000000,2580.000000,-1.0,0.0, No Prediction
1010,1.000000,1197.000000,"",0.032,0.170,No  more than 0.28
1011,0.000000,2886.000000,"",0.000,0.126,No  more than 0.28
1012,1.000000,3305.000000,"",0.333,0.323, more than 0.28
1013,0.000000,201.000000,"",0.000,0.139,No  more than 0.28
1014,0.000000,8295.000000,"",0.000,0.153,No  more than 0.28
1015,0.000000,4076.000000,"",0.029,0.555, more than 0.28
1016,0.000000,3051.000000,"",0.000,0.153,No  more than 0.28
1017,0.000000,546.000000,"",0.000,0.550, more than 0.28
1018,0.000000,182.000000,"",0.000,0.152,No  more than 0.28
1019,0.000000,1387.000000,"",0.000,0.155,No  more than 0.28
1020,0.000000,7865.000000,"",0.000,0.153,No  more than 0.28
1021,1.000000,43.000000,"",0.000,0.575, more than 0.28
1022,0.000000,7832.000000,"",0.000,0.117,No  more than 0.28
1023,0.000000,1511.000000,"",0.000,0.147,No  more than 0.28
1024,1.000000,8257.000000,"",0.065,0.511, more than 0.28
1025,0.000000,1705.000000,"",0.000,0.156,No  more than 0.28
1026,0.000000,4149.000000,"",0.078,0.546, more than 0.28
1027,0.000000,4563.000000,"",0.045,0.132,No  more than 0.28
1028,0.000000,5589.000000,"",0.000,0.154,No  more than 0.28
1029,0.000000,8200.000000,"",0.000,0.541, more than 0.28
1030,1.000000,1860.000000,"",0.000,0.588, more than 0.28
1031,0.000000,8313.000000,"",0.000,0.139,No  more than 0.28
1032,0.000000,4793.000000,"",0.000,0.593, more than 0.28
1033,0.000000,4449.000000,"",0.010,0.180,No  more than 0.28
1034,0.000000,2650.000000,"",0.060,0.180,No  more than 0.28
1035,0.000000,7388.000000,"",0.000,0.148,No  more than 0.28
1036,0.000000,7229.000000,"",0.000,0.135,No  more than 0.28
1037,1.000000,4026.000000,-1.0,0.0, No Prediction
1038,0.000000,7552.000000,"",0.000,0.109,No  more than 0.28
1039,0.000000,5557.000000,"",0.799,0.312, more than 0.28
1040,1.000000,4865.000000,"",0.000,0.547, more than 0.28
1041,1.000000,7071.000000,"",0.027,0.515, more than 0.28
1042,0.000000,4596.000000,"",0.000,0.172,No  more than 0.28
1043,0.000000,5777.000000,"",0.070,0.479, more than 0.28
1044,1.000000,6872.000000,"",0.000,0.599, more than 0.28
1045,0.000000,2010.000000,"",0.000,0.105,No  more than 0.28
1046,0.000000,1385.000000,"",0.000,0.174,No  more than 0.28
1047,0.000000,3503.000000,"",0.000,0.153,No  more than 0.28
1048,1.000000,7087.000000,"",0.080,0.560, more than 0.28
1049,1.000000,4765.000000,"",0.046,0.724, more than 0.28
1050,1.000000,3779.000000,"",0.040,0.566, more than 0.28
1051,0.000000,2129.000000,"",0.000,0.598, more than 0.28
1052,0.000000,1482.000000,"",0.000,0.123,No  more than 0.28
1053,1.000000,8393.000000,"",0.318,0.325, more than 0.28
1054,1.000000,4937.000000,"",0.726,0.309, more than 0.28
1055,0.000000,1796.000000,"",0.000,0.145,No  more than 0.28
1056,1.000000,5612.000000,"",0.000,0.588, more than 0.28
1057,1.000000,6223.000000,"",0.000,0.154,No  more than 0.28
1058,1.000000,6402.000000,"",0.602,0.297, more than 0.28
1059,0.000000,4655.000000,"",0.000,0.156,No  more than 0.28
1060,0.000000,8350.000000,"",0.000,0.105,No  more than 0.28
1061,1.000000,6414.000000,"",0.000,0.154,No  more than 0.28
1062,0.000000,578.000000,"",0.461,0.282, more than 0.28
1063,0.000000,1537.000000,"",0.000,0.154,No  more than 0.28
1064,1.000000,7502.000000,"",0.000,0.148,No  more than 0.28
1065,1.000000,417.000000,"",0.087,0.485, more than 0.28
1066,0.000000,1645.000000,"",0.001,0.178,No  more than 0.28
1067,0.000000,7494.000000,"",0.000,0.110,No  more than 0.28
1068,1.000000,1809.000000,"",0.000,0.547, more than 0.28
1069,0.000000,761.000000,"",0.000,0.141,No  more than 0.28
1070,0.000000,4687.000000,-1.0,0.0, No Prediction
1071,1.000000,2728.000000,"",0.191,0.202,No  more than 0.28
1072,0.000000,7632.000000,-1.0,0.0, No Prediction
1073,0.000000,2085.000000,"",0.000,0.142,No  more than 0.28
1074,0.000000,3384.000000,"",0.000,0.145,No  more than 0.28
1075,0.000000,6593.000000,"",0.000,0.141,No  more than 0.28
1076,0.000000,330.000000,"",0.000,0.145,No  more than 0.28
1077,0.000000,5825.000000,"",0.539,0.269,No  more than 0.28
1078,0.000000,2573.000000,"",0.000,0.141,No  more than 0.28
1079,1.000000,4436.000000,"",0.000,0.152,No  more than 0.28
1080,0.000000,7108.000000,"",0.000,0.109,No  more than 0.28
1081,0.000000,6689.000000,"",0.028,0.132,No  more than 0.28
1082,0.000000,7967.000000,"",0.000,0.163,No  more than 0.28
1083,0.000000,7106.000000,"",0.000,0.123,No  more than 0.28
1084,0.000000,3316.000000,"",0.078,0.243,No  more than 0.28
1085,0.000000,3100.000000,"",0.000,0.149,No  more than 0.28
1086,0.000000,3394.000000,"",0.000,0.129,No  more than 0.28
1087,0.000000,6258.000000,"",0.000,0.163,No  more than 0.28
1088,0.000000,3984.000000,"",0.210,0.208,No  more than 0.28
1089,0.000000,3098.000000,"",0.000,0.131,No  more than 0.28
1090,0.000000,972.000000,"",0.000,0.137,No  more than 0.28
1091,0.000000,5596.000000,"",0.000,0.155,No  more than 0.28
1092,1.000000,5249.000000,"",0.000,0.149,No  more than 0.28
1093,0.000000,3216.000000,"",0.000,0.113,No  more than 0.28
1094,0.000000,3187.000000,"",0.000,0.163,No  more than 0.28
1095,0.000000,4706.000000,"",0.599,0.287, more than 0.28
1096,0.000000,6815.000000,"",0.796,0.291, more than 0.28
1097,0.000000,8208.000000,"",0.000,0.118,No  more than 0.28
1098,0.000000,2359.000000,"",0.000,0.104,No  more than 0.28
1099,0.000000,1141.000000,"",0.000,0.101,No  more than 0.28
1100,0.000000,7833.000000,"",0.000,0.082,No  more than 0.28
1101,1.000000,8114.000000,"",0.078,0.546, more than 0.28
1102,0.000000,5964.000000,"",0.000,0.120,No  more than 0.28
1103,0.000000,3029.000000,"",0.000,0.162,No  more than 0.28
1104,0.000000,5743.000000,"",0.000,0.112,No  more than 0.28
1105,1.000000,3882.000000,"",0.000,0.745, more than 0.28
1106,0.000000,7500.000000,"",0.087,0.252,No  more than 0.28
1107,0.000000,8186.000000,"",0.000,0.550, more than 0.28
1108,1.000000,5257.000000,"",0.000,0.138,No  more than 0.28
1109,1.000000,7088.000000,"",0.000,0.551, more than 0.28
1110,1.000000,6608.000000,"",0.000,0.744, more than 0.28
1111,0.000000,5109.000000,"",0.911,0.278,No  more than 0.28
1112,0.000000,4819.000000,"",0.000,0.147,No  more than 0.28
1113,0.000000,7239.000000,"",0.000,0.125,No  more than 0.28
1114,0.000000,3130.000000,"",0.162,0.221,No  more than 0.28
1115,0.000000,6058.000000,"",0.000,0.122,No  more than 0.28
1116,1.000000,437.000000,"",0.008,0.151,No  more than 0.28
1117,0.000000,3521.000000,"",0.000,0.093,No  more than 0.28
1118,0.000000,5997.000000,"",0.204,0.258,No  more than 0.28
1119,1.000000,310.000000,"",0.000,0.118,No  more than 0.28
1120,0.000000,3379.000000,"",0.000,0.087,No  more than 0.28
1121,1.000000,89.000000,"",0.000,0.638, more than 0.28
1122,0.000000,2457.000000,"",0.000,0.156,No  more than 0.28
1123,0.000000,2168.000000,"",0.003,0.173,No  more than 0.28
1124,0.000000,1022.000000,"",0.000,0.158,No  more than 0.28
1125,0.000000,3952.000000,"",0.000,0.135,No  more than 0.28
1126,0.000000,5290.000000,"",0.179,0.249,No  more than 0.28
1127,0.000000,6253.000000,"",0.170,0.254,No  more than 0.28
1128,1.000000,1577.000000,"",0.000,0.594, more than 0.28
1129,0.000000,4659.000000,"",0.129,0.237,No  more than 0.28
1130,0.000000,6606.000000,"",0.132,0.183,No  more than 0.28
1131,0.000000,4296.000000,"",0.000,0.159,No  more than 0.28
1132,0.000000,259.000000,"",0.000,0.101,No  more than 0.28
1133,0.000000,4086.000000,-1.0,0.0, No Prediction
1134,0.000000,5671.000000,"",0.229,0.246,No  more than 0.28
1135,0.000000,5717.000000,"",0.000,0.097,No  more than 0.28
1136,0.000000,5363.000000,"",0.000,0.145,No  more than 0.28
1137,0.000000,6505.000000,"",0.541,0.372, more than 0.28
1138,1.000000,3047.000000,"",0.000,0.154,No  more than 0.28
1139,0.000000,1263.000000,"",0.000,0.092,No  more than 0.28
1140,0.000000,8260.000000,"",0.000,0.123,No  more than 0.28
1141,0.000000,739.000000,"",0.170,0.232,No  more than 0.28
1142,0.000000,1279.000000,"",0.000,0.609, more than 0.28
1143,0.000000,2817.000000,"",0.789,0.279,No  more than 0.28
1144,0.000000,4758.000000,"",0.000,0.148,No  more than 0.28
1145,1.000000,545.000000,-1.0,0.0, No Prediction
1146,1.000000,5884.000000,"",0.038,0.526, more than 0.28
1147,0.000000,3372.000000,"",0.000,0.123,No  more than 0.28
1148,0.000000,3233.000000,"",0.000,0.127,No  more than 0.28
1149,1.000000,7319.000000,"",0.765,0.280, more than 0.28
1150,0.000000,3311.000000,"",0.135,0.193,No  more than 0.28
1151,0.000000,4688.000000,"",0.000,0.139,No  more than 0.28
1152,0.000000,8385.000000,"",0.000,0.145,No  more than 0.28
1153,0.000000,1265.000000,"",0.000,0.117,No  more than 0.28
1154,0.000000,802.000000,"",0.000,0.148,No  more than 0.28
1155,0.000000,3364.000000,"",0.000,0.131,No  more than 0.28
1156,0.000000,58.000000,"",0.000,0.112,No  more than 0.28
1157,0.000000,71.000000,"",0.000,0.123,No  more than 0.28
1158,0.000000,713.000000,"",0.000,0.145,No  more than 0.28
1159,0.000000,7850.000000,"",0.966,0.278,No  more than 0.28
1160,0.000000,267.000000,"",0.000,0.115,No  more than 0.28
1161,0.000000,2305.000000,"",0.117,0.180,No  more than 0.28
1162,0.000000,4128.000000,"",0.000,0.093,No  more than 0.28
1163,0.000000,1722.000000,"",0.000,0.124,No  more than 0.28
1164,0.000000,5765.000000,"",0.000,0.167,No  more than 0.28
1165,0.000000,6882.000000,"",0.000,0.139,No  more than 0.28
1166,0.000000,6678.000000,"",0.000,0.092,No  more than 0.28
1167,0.000000,6410.000000,"",0.000,0.129,No  more than 0.28
1168,0.000000,6375.000000,"",0.170,0.219,No  more than 0.28
1169,0.000000,2671.000000,"",0.000,0.135,No  more than 0.28
1170,0.000000,4045.000000,"",0.832,0.299, more than 0.28
1171,0.000000,6467.000000,"",0.000,0.110,No  more than 0.28
1172,1.000000,7908.000000,"",0.000,0.151,No  more than 0.28
1173,0.000000,2401.000000,"",0.000,0.142,No  more than 0.28
1174,0.000000,3757.000000,"",0.000,0.088,No  more than 0.28
1175,0.000000,8279.000000,-1.0,0.0, No Prediction
1176,0.000000,3377.000000,"",0.010,0.141,No  more than 0.28
1177,0.000000,8222.000000,"",0.000,0.542, more than 0.28
1178,0.000000,7179.000000,"",0.000,0.131,No  more than 0.28
1179,0.000000,753.000000,"",0.000,0.126,No  more than 0.28
1180,0.000000,6736.000000,"",0.505,0.319, more than 0.28
1181,1.000000,3036.000000,"",0.000,0.525, more than 0.28
1182,0.000000,1628.000000,"",0.000,0.146,No  more than 0.28
1183,0.000000,478.000000,"",0.071,0.250,No  more than 0.28
1184,0.000000,1742.000000,"",0.000,0.096,No  more than 0.28
1185,0.000000,5757.000000,"",0.000,0.121,No  more than 0.28
1186,0.000000,2648.000000,"",0.135,0.273,No  more than 0.28
1187,0.000000,213.000000,"",0.000,0.152,No  more than 0.28
1188,0.000000,470.000000,"",0.000,0.147,No  more than 0.28
1189,0.000000,4593.000000,"",0.000,0.167,No  more than 0.28
1190,0.000000,8196.000000,"",0.000,0.135,No  more than 0.28
1191,0.000000,7234.000000,"",0.000,0.147,No  more than 0.28
1192,0.000000,1027.000000,"",0.000,0.117,No  more than 0.28
1193,1.000000,3840.000000,"",0.000,0.162,No  more than 0.28
1194,0.000000,4663.000000,"",0.000,0.150,No  more than 0.28
1195,0.000000,8318.000000,"",0.104,0.164,No  more than 0.28
1196,0.000000,6386.000000,"",0.911,0.278,No  more than 0.28
1197,0.000000,3894.000000,"",0.000,0.156,No  more than 0.28
1198,0.000000,4440.000000,"",0.338,0.326, more than 0.28
1199,0.000000,775.000000,"",0.000,0.142,No  more than 0.28
1200,0.000000,1325.000000,"",0.000,0.113,No  more than 0.28
1201,0.000000,8274.000000,-1.0,0.0, No Prediction
1202,0.000000,1538.000000,"",0.832,0.299, more than 0.28
1203,1.000000,4694.000000,"",0.000,0.155,No  more than 0.28
1204,0.000000,643.000000,"",0.000,0.095,No  more than 0.28
1205,1.000000,7048.000000,"",0.098,0.170,No  more than 0.28
1206,1.000000,1921.000000,"",0.019,0.745, more than 0.28
1207,0.000000,5367.000000,"",0.000,0.153,No  more than 0.28
1208,0.000000,5971.000000,"",0.000,0.151,No  more than 0.28
1209,0.000000,6045.000000,"",0.000,0.164,No  more than 0.28
1210,1.000000,6477.000000,"",0.114,0.215,No  more than 0.28
1211,0.000000,1110.000000,"",0.000,0.117,No  more than 0.28
1212,0.000000,5941.000000,"",0.000,0.119,No  more than 0.28
1213,0.000000,7417.000000,"",0.862,0.292, more than 0.28
1214,1.000000,2191.000000,"",0.083,0.265,No  more than 0.28
1215,1.000000,6384.000000,"",0.000,0.099,No  more than 0.28
1216,0.000000,1907.000000,"",0.000,0.118,No  more than 0.28
1217,0.000000,6701.000000,"",0.135,0.246,No  more than 0.28
1218,0.000000,5824.000000,"",0.045,0.538, more than 0.28
1219,0.000000,959.000000,"",0.000,0.151,No  more than 0.28
1220,1.000000,1299.000000,"",0.000,0.548, more than 0.28
1221,0.000000,2175.000000,"",0.049,0.202,No  more than 0.28
1222,0.000000,2533.000000,"",0.702,0.288, more than 0.28
1223,0.000000,3412.000000,"",0.000,0.132,No  more than 0.28
1224,0.000000,1917.000000,"",0.000,0.149,No  more than 0.28
1225,0.000000,120.000000,"",0.000,0.161,No  more than 0.28
1226,0.000000,8410.000000,"",0.000,0.145,No  more than 0.28
1227,1.000000,6915.000000,"",0.194,0.398, more than 0.28
1228,0.000000,3028.000000,"",0.000,0.149,No  more than 0.28
1229,1.000000,6374.000000,"",0.102,0.190,No  more than 0.28
1230,1.000000,6368.000000,"",0.660,0.283, more than 0.28
1231,0.000000,5989.000000,"",0.000,0.142,No  more than 0.28
1232,0.000000,1822.000000,"",0.000,0.099,No  more than 0.28
1233,0.000000,2246.000000,"",0.000,0.084,No  more than 0.28
1234,0.000000,6154.000000,"",0.084,0.233,No  more than 0.28
1235,0.000000,1174.000000,"",0.000,0.109,No  more than 0.28
1236,0.000000,1580.000000,"",0.000,0.094,No  more than 0.28
1237,0.000000,2262.000000,"",0.000,0.109,No  more than 0.28
1238,0.000000,1347.000000,"",0.000,0.071,No  more than 0.28
1239,0.000000,8347.000000,"",0.000,0.116,No  more than 0.28
1240,0.000000,3484.000000,"",0.000,0.115,No  more than 0.28
1241,0.000000,2630.000000,"",0.000,0.129,No  more than 0.28
1242,0.000000,8443.000000,"",0.187,0.217,No  more than 0.28
1243,0.000000,4352.000000,"",0.615,0.330, more than 0.28
1244,1.000000,5665.000000,"",0.000,0.551, more than 0.28
1245,0.000000,7625.000000,"",0.001,0.178,No  more than 0.28
1246,0.000000,4277.000000,"",0.000,0.159,No  more than 0.28
1247,0.000000,4657.000000,"",0.000,0.142,No  more than 0.28
1248,0.000000,1469.000000,"",0.015,0.188,No  more than 0.28
1249,0.000000,7002.000000,"",0.000,0.645, more than 0.28
1250,0.000000,5619.000000,-1.0,0.0, No Prediction
1251,0.000000,817.000000,"",0.000,0.122,No  more than 0.28
1252,0.000000,6313.000000,"",0.000,0.165,No  more than 0.28
1253,0.000000,620.000000,"",0.911,0.278,No  more than 0.28
1254,0.000000,3161.000000,"",0.000,0.136,No  more than 0.28
1255,1.000000,5993.000000,"",0.000,0.638, more than 0.28
1256,0.000000,4381.000000,"",0.000,0.559, more than 0.28
1257,0.000000,1044.000000,"",0.319,0.425, more than 0.28
1258,0.000000,2217.000000,"",0.000,0.142,No  more than 0.28
1259,0.000000,6193.000000,"",0.404,0.392, more than 0.28
1260,0.000000,1076.000000,"",0.000,0.125,No  more than 0.28
1261,0.000000,5420.000000,"",0.000,0.550, more than 0.28
1262,0.000000,181.000000,"",0.016,0.191,No  more than 0.28
1263,1.000000,7620.000000,"",0.000,0.155,No  more than 0.28
1264,0.000000,2731.000000,"",0.211,0.202,No  more than 0.28
1265,1.000000,3948.000000,"",0.000,0.153,No  more than 0.28
1266,1.000000,2376.000000,"",0.000,0.556, more than 0.28
1267,0.000000,5776.000000,"",0.000,0.148,No  more than 0.28
1268,0.000000,5850.000000,"",0.000,0.148,No  more than 0.28
1269,0.000000,6066.000000,"",0.000,0.172,No  more than 0.28
1270,0.000000,5223.000000,"",0.000,0.151,No  more than 0.28
1271,0.000000,6562.000000,"",0.000,0.114,No  more than 0.28
1272,0.000000,8019.000000,"",0.000,0.112,No  more than 0.28
1273,0.000000,5873.000000,"",0.000,0.112,No  more than 0.28
1274,0.000000,4825.000000,"",0.000,0.150,No  more than 0.28
1275,1.000000,5928.000000,"",0.000,0.152,No  more than 0.28
1276,0.000000,1422.000000,"",0.000,0.127,No  more than 0.28
1277,0.000000,2290.000000,"",0.000,0.160,No  more than 0.28
1278,0.000000,6073.000000,"",0.000,0.093,No  more than 0.28
1279,0.000000,6732.000000,"",0.599,0.292, more than 0.28
1280,1.000000,2720.000000,"",0.000,0.134,No  more than 0.28
1281,0.000000,3027.000000,"",0.000,0.167,No  more than 0.28
1282,1.000000,4003.000000,"",0.105,0.273,No  more than 0.28
1283,1.000000,8477.000000,"",0.000,0.556, more than 0.28
1284,0.000000,4397.000000,"",0.182,0.240,No  more than 0.28
1285,0.000000,1956.000000,"",0.727,0.289, more than 0.28
1286,0.000000,6245.000000,"",0.000,0.131,No  more than 0.28
1287,0.000000,4576.000000,"",0.000,0.146,No  more than 0.28
1288,0.000000,4708.000000,"",0.330,0.255,No  more than 0.28
1289,0.000000,4920.000000,"",0.000,0.149,No  more than 0.28
1290,1.000000,3560.000000,"",0.079,0.222,No  more than 0.28
1291,0.000000,4232.000000,"",0.000,0.543, more than 0.28
1292,0.000000,5725.000000,"",0.000,0.163,No  more than 0.28
1293,0.000000,1165.000000,"",0.071,0.248,No  more than 0.28
1294,0.000000,4473.000000,"",0.098,0.245,No  more than 0.28
1295,0.000000,4198.000000,"",0.000,0.544, more than 0.28
1296,0.000000,2999.000000,"",0.000,0.157,No  more than 0.28
1297,1.000000,5255.000000,-1.0,0.0, No Prediction
1298,0.000000,5672.000000,"",0.000,0.149,No  more than 0.28
1299,0.000000,6571.000000,"",0.000,0.175,No  more than 0.28
1300,0.000000,302.000000,"",0.136,0.192,No  more than 0.28
1301,0.000000,1146.000000,"",0.000,0.123,No  more than 0.28
1302,0.000000,6164.000000,"",0.000,0.120,No  more than 0.28
1303,1.000000,7469.000000,"",0.000,0.149,No  more than 0.28
1304,0.000000,1936.000000,"",0.000,0.632, more than 0.28
1305,1.000000,2678.000000,"",0.000,0.591, more than 0.28
1306,0.000000,1332.000000,"",0.000,0.124,No  more than 0.28
1307,0.000000,3684.000000,"",0.000,0.145,No  more than 0.28
1308,0.000000,8327.000000,"",0.313,0.246,No  more than 0.28
1309,0.000000,7569.000000,"",0.000,0.148,No  more than 0.28
1310,1.000000,5600.000000,"",0.000,0.159,No  more than 0.28
1311,0.000000,1159.000000,"",0.118,0.171,No  more than 0.28
1312,1.000000,5982.000000,"",0.000,0.153,No  more than 0.28
1313,1.000000,488.000000,"",0.000,0.137,No  more than 0.28
1314,0.000000,1182.000000,"",0.000,0.131,No  more than 0.28
1315,1.000000,8254.000000,"",0.000,0.148,No  more than 0.28
1316,0.000000,8301.000000,"",0.611,0.280, more than 0.28
1317,0.000000,3542.000000,"",0.000,0.161,No  more than 0.28
1318,0.000000,3009.000000,"",0.000,0.141,No  more than 0.28
1319,0.000000,2147.000000,"",0.000,0.132,No  more than 0.28
1320,1.000000,7090.000000,"",0.668,0.288, more than 0.28
1321,0.000000,4271.000000,"",0.000,0.155,No  more than 0.28
1322,0.000000,3658.000000,"",0.000,0.113,No  more than 0.28
1323,1.000000,7826.000000,"",0.000,0.132,No  more than 0.28
1324,0.000000,5131.000000,"",0.000,0.090,No  more than 0.28
