"RecNo","leave_ind","fictive-oved","Expected_by_Formulas","Sign_Level","Concl_Prob","Prediction"
162,0.000000,6381.000000,"",0.000,0.172,No  more than 0.28
163,1.000000,2862.000000,"",0.000,0.177,No  more than 0.28
164,1.000000,6620.000000,"",0.000,0.128,No  more than 0.28
165,0.000000,10.000000,"",0.206,0.228,No  more than 0.28
166,0.000000,223.000000,-1.0,0.0, No Prediction
167,1.000000,2584.000000,-1.0,0.0, No Prediction
168,0.000000,4863.000000,"",0.000,0.137,No  more than 0.28
169,0.000000,5262.000000,"",0.000,0.592, more than 0.28
170,0.000000,6022.000000,"",0.258,0.394, more than 0.28
171,0.000000,6205.000000,"",0.249,0.262,No  more than 0.28
172,1.000000,4412.000000,"",0.000,0.555, more than 0.28
173,0.000000,8368.000000,"",0.128,0.225,No  more than 0.28
174,1.000000,5013.000000,"",0.000,0.146,No  more than 0.28
175,0.000000,1046.000000,"",0.124,0.199,No  more than 0.28
176,0.000000,1428.000000,"",0.000,0.154,No  more than 0.28
177,1.000000,2318.000000,"",0.119,0.393, more than 0.28
178,0.000000,738.000000,"",0.098,0.197,No  more than 0.28
179,0.000000,1036.000000,"",0.000,0.120,No  more than 0.28
180,1.000000,6069.000000,"",0.031,0.508, more than 0.28
181,0.000000,5230.000000,"",0.000,0.162,No  more than 0.28
182,0.000000,6125.000000,"",0.000,0.149,No  more than 0.28
183,0.000000,5854.000000,"",0.000,0.150,No  more than 0.28
184,1.000000,4419.000000,"",0.000,0.541, more than 0.28
185,0.000000,4548.000000,"",0.913,0.284, more than 0.28
186,0.000000,5801.000000,"",0.000,0.160,No  more than 0.28
187,0.000000,2523.000000,"",0.000,0.139,No  more than 0.28
188,1.000000,1086.000000,-1.0,0.0, No Prediction
189,0.000000,4707.000000,"",0.070,0.190,No  more than 0.28
190,1.000000,1402.000000,"",0.000,0.574, more than 0.28
191,0.000000,3943.000000,"",0.000,0.139,No  more than 0.28
192,0.000000,2990.000000,"",0.074,0.216,No  more than 0.28
193,0.000000,3068.000000,"",0.000,0.109,No  more than 0.28
194,0.000000,6615.000000,"",0.000,0.157,No  more than 0.28
195,0.000000,2478.000000,"",0.035,0.133,No  more than 0.28
196,0.000000,2501.000000,"",0.000,0.163,No  more than 0.28
197,1.000000,7277.000000,-1.0,0.0, No Prediction
198,1.000000,3655.000000,"",0.000,0.130,No  more than 0.28
199,0.000000,5067.000000,"",0.020,0.151,No  more than 0.28
200,0.000000,8158.000000,"",0.000,0.158,No  more than 0.28
201,0.000000,6137.000000,"",0.046,0.196,No  more than 0.28
202,0.000000,235.000000,-1.0,0.0, No Prediction
203,0.000000,1057.000000,"",0.700,0.297, more than 0.28
204,0.000000,765.000000,"",0.000,0.156,No  more than 0.28
205,0.000000,4131.000000,"",0.000,0.093,No  more than 0.28
206,1.000000,4939.000000,"",0.672,0.294, more than 0.28
207,0.000000,4691.000000,"",0.000,0.123,No  more than 0.28
208,0.000000,5522.000000,"",0.000,0.132,No  more than 0.28
209,0.000000,2997.000000,"",0.000,0.145,No  more than 0.28
210,1.000000,3247.000000,"",0.000,0.145,No  more than 0.28
211,0.000000,4089.000000,"",0.000,0.167,No  more than 0.28
212,1.000000,3576.000000,"",0.000,0.594, more than 0.28
213,0.000000,7465.000000,"",0.441,0.320, more than 0.28
214,0.000000,4413.000000,"",0.911,0.278,No  more than 0.28
215,1.000000,8187.000000,"",0.402,0.287, more than 0.28
216,0.000000,3469.000000,"",0.704,0.337, more than 0.28
217,0.000000,1777.000000,"",0.516,0.335, more than 0.28
218,0.000000,1063.000000,"",0.294,0.414, more than 0.28
219,0.000000,8202.000000,"",0.000,0.547, more than 0.28
220,0.000000,8409.000000,"",0.000,0.141,No  more than 0.28
221,0.000000,7615.000000,"",0.000,0.150,No  more than 0.28
222,0.000000,7299.000000,"",0.000,0.146,No  more than 0.28
223,0.000000,8042.000000,"",0.086,0.475, more than 0.28
224,1.000000,4682.000000,"",0.000,0.134,No  more than 0.28
225,0.000000,1454.000000,-1.0,0.0, No Prediction
226,0.000000,6855.000000,"",0.000,0.120,No  more than 0.28
227,1.000000,5698.000000,-1.0,0.0, No Prediction
228,0.000000,3116.000000,"",0.295,0.271,No  more than 0.28
229,0.000000,3008.000000,"",0.000,0.143,No  more than 0.28
230,0.000000,5213.000000,"",0.691,0.299, more than 0.28
231,1.000000,6453.000000,"",0.092,0.546, more than 0.28
232,1.000000,101.000000,"",0.000,0.145,No  more than 0.28
233,0.000000,6502.000000,"",0.565,0.337, more than 0.28
234,1.000000,1703.000000,"",0.105,0.465, more than 0.28
235,0.000000,588.000000,"",0.000,0.137,No  more than 0.28
236,1.000000,2672.000000,"",0.000,0.150,No  more than 0.28
237,1.000000,6112.000000,"",0.000,0.542, more than 0.28
238,0.000000,7016.000000,"",0.000,0.100,No  more than 0.28
239,1.000000,7294.000000,"",0.000,0.153,No  more than 0.28
240,0.000000,431.000000,"",0.000,0.138,No  more than 0.28
241,0.000000,8135.000000,"",0.000,0.540, more than 0.28
242,0.000000,4696.000000,"",0.000,0.147,No  more than 0.28
243,0.000000,6070.000000,"",0.000,0.177,No  more than 0.28
244,0.000000,3986.000000,"",0.360,0.378, more than 0.28
245,1.000000,2968.000000,"",0.000,0.147,No  more than 0.28
246,1.000000,355.000000,"",0.000,0.150,No  more than 0.28
247,0.000000,3045.000000,"",0.000,0.140,No  more than 0.28
248,0.000000,2126.000000,"",0.000,0.160,No  more than 0.28
249,0.000000,3066.000000,"",0.000,0.130,No  more than 0.28
250,0.000000,2945.000000,"",0.000,0.147,No  more than 0.28
251,0.000000,3695.000000,"",0.000,0.131,No  more than 0.28
252,0.000000,4469.000000,"",0.000,0.153,No  more than 0.28
253,1.000000,8334.000000,-1.0,0.0, No Prediction
254,0.000000,3415.000000,"",0.000,0.151,No  more than 0.28
255,0.000000,2685.000000,"",0.000,0.166,No  more than 0.28
256,1.000000,2109.000000,"",0.355,0.261,No  more than 0.28
257,1.000000,1195.000000,"",0.121,0.215,No  more than 0.28
258,0.000000,3466.000000,"",0.000,0.147,No  more than 0.28
259,1.000000,4710.000000,"",0.256,0.232,No  more than 0.28
260,1.000000,6155.000000,"",0.000,0.153,No  more than 0.28
261,1.000000,2835.000000,"",0.435,0.302, more than 0.28
262,0.000000,835.000000,"",0.000,0.131,No  more than 0.28
263,0.000000,5585.000000,"",0.000,0.155,No  more than 0.28
264,0.000000,5935.000000,"",0.000,0.088,No  more than 0.28
265,0.000000,5402.000000,"",0.033,0.223,No  more than 0.28
266,1.000000,3262.000000,"",0.000,0.143,No  more than 0.28
267,0.000000,6019.000000,"",0.677,0.307, more than 0.28
268,0.000000,489.000000,-1.0,0.0, No Prediction
269,0.000000,4506.000000,"",0.804,0.301, more than 0.28
270,0.000000,1760.000000,"",0.000,0.094,No  more than 0.28
271,0.000000,4176.000000,"",0.000,0.152,No  more than 0.28
272,0.000000,2881.000000,"",0.000,0.102,No  more than 0.28
273,1.000000,4024.000000,"",0.000,0.096,No  more than 0.28
274,0.000000,6194.000000,"",0.000,0.129,No  more than 0.28
275,0.000000,8484.000000,"",0.000,0.107,No  more than 0.28
276,0.000000,5980.000000,"",0.000,0.557, more than 0.28
277,0.000000,3917.000000,"",0.000,0.160,No  more than 0.28
278,0.000000,6704.000000,"",0.000,0.120,No  more than 0.28
279,1.000000,4736.000000,-1.0,0.0, No Prediction
280,1.000000,6454.000000,"",0.040,0.566, more than 0.28
281,0.000000,6938.000000,"",0.000,0.152,No  more than 0.28
282,0.000000,2778.000000,"",0.000,0.162,No  more than 0.28
283,0.000000,5674.000000,-1.0,0.0, No Prediction
284,1.000000,4222.000000,"",0.777,0.308, more than 0.28
285,0.000000,1529.000000,"",0.000,0.146,No  more than 0.28
286,1.000000,7083.000000,"",0.000,0.162,No  more than 0.28
287,0.000000,967.000000,"",0.000,0.114,No  more than 0.28
288,1.000000,4357.000000,"",0.620,0.325, more than 0.28
289,1.000000,2135.000000,"",0.000,0.555, more than 0.28
290,0.000000,7094.000000,"",0.225,0.419, more than 0.28
291,0.000000,3209.000000,"",0.000,0.133,No  more than 0.28
292,1.000000,1673.000000,-1.0,0.0, No Prediction
293,0.000000,2024.000000,"",0.037,0.505, more than 0.28
294,0.000000,2228.000000,"",0.000,0.157,No  more than 0.28
295,1.000000,5764.000000,"",0.201,0.390, more than 0.28
296,1.000000,4364.000000,"",0.000,0.596, more than 0.28
297,0.000000,7651.000000,"",0.000,0.092,No  more than 0.28
298,0.000000,6743.000000,"",0.000,0.131,No  more than 0.28
299,0.000000,7759.000000,"",0.000,0.151,No  more than 0.28
300,0.000000,4058.000000,"",0.000,0.147,No  more than 0.28
301,1.000000,5912.000000,"",0.363,0.356, more than 0.28
302,1.000000,25.000000,"",0.000,0.153,No  more than 0.28
303,0.000000,2254.000000,"",0.016,0.148,No  more than 0.28
304,0.000000,4206.000000,-1.0,0.0, No Prediction
305,0.000000,3208.000000,"",0.000,0.122,No  more than 0.28
306,1.000000,1300.000000,"",0.000,0.542, more than 0.28
307,1.000000,5284.000000,"",0.000,0.161,No  more than 0.28
308,1.000000,1376.000000,"",0.030,0.550, more than 0.28
309,0.000000,4624.000000,"",0.000,0.144,No  more than 0.28
310,0.000000,3359.000000,"",0.188,0.462, more than 0.28
311,0.000000,5984.000000,"",0.000,0.144,No  more than 0.28
312,0.000000,8418.000000,"",0.068,0.261,No  more than 0.28
313,0.000000,2890.000000,"",0.000,0.140,No  more than 0.28
314,0.000000,1959.000000,"",0.000,0.619, more than 0.28
315,0.000000,7324.000000,"",0.795,0.281, more than 0.28
316,0.000000,5583.000000,"",0.000,0.139,No  more than 0.28
317,0.000000,6202.000000,"",0.000,0.119,No  more than 0.28
318,0.000000,7743.000000,"",0.042,0.505, more than 0.28
319,0.000000,5427.000000,"",0.000,0.089,No  more than 0.28
320,1.000000,6327.000000,"",0.911,0.278,No  more than 0.28
321,1.000000,4243.000000,"",0.067,0.140,No  more than 0.28
322,0.000000,6468.000000,"",0.000,0.094,No  more than 0.28
323,0.000000,3025.000000,"",0.000,0.167,No  more than 0.28
324,1.000000,4640.000000,"",0.210,0.255,No  more than 0.28
325,0.000000,6539.000000,"",0.000,0.152,No  more than 0.28
326,0.000000,6347.000000,"",0.000,0.139,No  more than 0.28
327,1.000000,750.000000,"",0.000,0.144,No  more than 0.28
328,0.000000,3534.000000,"",0.000,0.153,No  more than 0.28
329,0.000000,1493.000000,"",0.000,0.148,No  more than 0.28
330,0.000000,813.000000,"",0.000,0.145,No  more than 0.28
331,0.000000,934.000000,"",0.000,0.120,No  more than 0.28
332,0.000000,3783.000000,"",0.000,0.647, more than 0.28
333,1.000000,2225.000000,"",0.000,0.102,No  more than 0.28
334,1.000000,1866.000000,"",0.000,0.146,No  more than 0.28
335,0.000000,1315.000000,"",0.000,0.138,No  more than 0.28
336,1.000000,2268.000000,"",0.064,0.477, more than 0.28
337,0.000000,5399.000000,"",0.000,0.135,No  more than 0.28
338,0.000000,6626.000000,"",0.000,0.118,No  more than 0.28
339,0.000000,362.000000,"",0.000,0.140,No  more than 0.28
340,0.000000,5593.000000,"",0.127,0.408, more than 0.28
341,0.000000,649.000000,"",0.068,0.240,No  more than 0.28
342,1.000000,7768.000000,"",0.000,0.155,No  more than 0.28
343,0.000000,3014.000000,"",0.000,0.151,No  more than 0.28
344,0.000000,8276.000000,-1.0,0.0, No Prediction
345,0.000000,5944.000000,"",0.000,0.130,No  more than 0.28
346,1.000000,2304.000000,"",0.684,0.306, more than 0.28
347,0.000000,8022.000000,"",0.000,0.112,No  more than 0.28
348,0.000000,4321.000000,"",0.000,0.088,No  more than 0.28
349,0.000000,6308.000000,"",0.000,0.114,No  more than 0.28
350,1.000000,3436.000000,"",0.000,0.156,No  more than 0.28
351,0.000000,1029.000000,"",0.000,0.092,No  more than 0.28
352,0.000000,5436.000000,"",0.000,0.142,No  more than 0.28
353,1.000000,293.000000,"",0.161,0.233,No  more than 0.28
354,0.000000,7889.000000,"",0.000,0.108,No  more than 0.28
355,0.000000,5014.000000,"",0.000,0.153,No  more than 0.28
356,1.000000,7219.000000,"",0.000,0.140,No  more than 0.28
357,0.000000,95.000000,"",0.000,0.089,No  more than 0.28
358,1.000000,7026.000000,"",0.000,0.632, more than 0.28
359,0.000000,2144.000000,"",0.010,0.180,No  more than 0.28
360,0.000000,6429.000000,"",0.170,0.232,No  more than 0.28
361,0.000000,250.000000,"",0.144,0.241,No  more than 0.28
362,1.000000,5482.000000,"",0.188,0.465, more than 0.28
363,0.000000,3730.000000,"",0.000,0.121,No  more than 0.28
364,0.000000,830.000000,"",0.000,0.156,No  more than 0.28
365,1.000000,7068.000000,"",0.000,0.634, more than 0.28
366,0.000000,2422.000000,"",0.000,0.147,No  more than 0.28
367,0.000000,7838.000000,"",0.275,0.257,No  more than 0.28
368,0.000000,4361.000000,"",0.000,0.593, more than 0.28
369,0.000000,678.000000,"",0.000,0.151,No  more than 0.28
370,0.000000,910.000000,"",0.000,0.148,No  more than 0.28
371,0.000000,321.000000,"",0.000,0.139,No  more than 0.28
372,0.000000,6668.000000,"",0.000,0.104,No  more than 0.28
373,0.000000,1767.000000,"",0.000,0.153,No  more than 0.28
374,1.000000,2308.000000,"",0.000,0.129,No  more than 0.28
375,0.000000,265.000000,"",0.000,0.133,No  more than 0.28
376,1.000000,7289.000000,"",0.000,0.152,No  more than 0.28
377,0.000000,5017.000000,"",0.000,0.136,No  more than 0.28
378,0.000000,7897.000000,"",0.231,0.347, more than 0.28
379,0.000000,3219.000000,"",0.000,0.122,No  more than 0.28
380,0.000000,187.000000,"",0.000,0.147,No  more than 0.28
381,1.000000,4416.000000,"",0.646,0.317, more than 0.28
382,0.000000,8531.000000,"",0.000,0.113,No  more than 0.28
383,1.000000,1964.000000,"",0.199,0.239,No  more than 0.28
384,0.000000,4452.000000,"",0.000,0.074,No  more than 0.28
385,0.000000,3019.000000,"",0.000,0.092,No  more than 0.28
386,1.000000,6693.000000,"",0.047,0.504, more than 0.28
387,1.000000,3107.000000,"",0.000,0.551, more than 0.28
388,0.000000,6203.000000,"",0.345,0.324, more than 0.28
389,0.000000,2113.000000,"",0.000,0.118,No  more than 0.28
